2017-07-28 16:18:13,157 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,157 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,158 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,159 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,161 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,163 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,164 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,165 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,166 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,166 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,166 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,167 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,168 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,168 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,169 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,169 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,170 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,170 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,171 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,171 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,172 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,172 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,173 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,173 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,173 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,174 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,175 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,177 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
